Número de expediente,fecha_publicacion,anio_publicacion,mes_publicacion,ambito_geografico,comunidad_autonoma,Tipo de contrato,Tipo de Administración,tipo_organo,Tipo de procedimiento,procedimiento_agrupado,Tramitación,presupuesto_expediente,Presupuesto base sin impuestos oportunidad,Valor estimado del contrato,tramo_presupuesto,duracion_meses,tramo_duracion,tiene_lotes,numero_lotes_dashboard,Resultado licitación/lote,resultado_agrupado,ganador_grupo,gano_gee,decision_licitacion,objeto_normalizado
CP00294/2018,2019-04-01,2019.0,4.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Mutua,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,204345.52,204345.52,408691.04,100.000 – 250.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,ge_healthcare,False,No licita,SERVICIO DE MANTENIMIENTO DE LOS EQUIPOS DE RESONANCIA MAGNETICA RADIOLOGIA ARCOS QUIRURGICOS Y ECOGRAFIA MARCA GE INSTALADOS EN EL HOSPITAL SITUADO EN SANT CUGAT DEL VALLES BARCELONA DE ASEPEYO
CSE/01/1118069506/18/PNSP,2019-04-01,2019.0,4.0,es43,Extremadura,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,18000.0,18000.0,18000.0,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DEL NEURONAVEGADOR DEL SISTEMA DE CIRUGIA GUIADA POR IMAGEN DEL SERVICIO DE NEUROCIRUGIA Y ESTACION DE PLANITICACION DEL HOSPITAL UNIVERSITARIO DE BADAJOZ
CSE/01/1118745/19/PNSP,2019-04-01,2019.0,4.0,es43,Extremadura,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,29980.75,29980.75,29980.75,25.000 – 50.000 €,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO CON R T DEL SISTEMA DE PURIFICACION DE AGUA MERCK MILLIPORE DEL LABORATORIO DE SALUD PUBLICA DEL COMPLEJO HOSPITALARIO UNIVERSITARIO DE BADAJOZ
CSE/01/1119021838/19/PASA,2019-04-01,2019.0,4.0,es43,Extremadura,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto simplificado,Abierto simplificado,Ordinaria,13866.67,13866.67,13866.67,10.000 – 25.000 €,8.0,6 – 12 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,CONTRATO DE MANTENIMIENTO DE EQUIPOS DE RADIOLOGIA TOSHIBA DEL AREA DE SALUD DE BADAJOZ
HUSE 55/18 PR,2019-04-01,2019.0,4.0,es53,Illes Balears,Servicios,Autoridad regional,Servicio de Salud,Abierto,Abierto,Ordinaria,39279.37,39279.37,39279.37,25.000 – 50.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,PRORROGA DEL CONTRATO DEL SERVICIO DE MANTENIMIENTO DEL EQUIPO DE LITOTRICIA DOLI S Y DE UN LASER DE HOLMIO DORNIER MEDILAS H20 DEL HOSPITAL UNIVERSITARIO SON ESPASES
HUSE 64/18 PR,2019-04-01,2019.0,4.0,es53,Illes Balears,Servicios,Autoridad regional,Servicio de Salud,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,109867.84,109867.84,109867.84,100.000 – 250.000 €,3.219448094612352,< 6 meses,False,0,Adjudicado,Adjudicado,grupo_gee,True,Licita,PRORROGA EXTRAORDINARIA II SERVICIO MANTENIMIENTO INTEGRAL Y ASISTENCIA TECNICA DEL EQUIPAMIENTO DEL AREA QUIRURGICA DEL HOSPITAL UNIVERSITARIO SON ESPASES
HUSE 65/18 PR,2019-04-01,2019.0,4.0,es53,Illes Balears,Servicios,Autoridad regional,Servicio de Salud,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,214753.29,214753.29,214753.29,100.000 – 250.000 €,4.434954007884363,< 6 meses,False,0,Adjudicado,Adjudicado,ge_healthcare,False,No licita,PRORROGA EXTRAORDINARIA II SERVICIO MANTENIMIENTO INTEGRAL Y ASISTENCIA TECNICA DEL EQUIPAMIENTO DE ALTA TECNOLOGIA DE SOPORTE VITAL DEL HOSPITAL UNIVERSITARIO SON ESPASES
N201900293,2019-04-01,2019.0,4.0,es51,Cataluña,Servicios,Otras Entidades del Sector Público,Mutua,Abierto,Abierto,Ordinaria,7000.0,7000.0,17500.0,< 10.000 €,24.0,24 – 36 meses,False,0,Desierto,Desierto,Otros,False,No licita,SERVICIO DE REPARACION DE INSTRUMENTAL QUIRURGICO PARA CLINICAS MC MUTUAL EN BARCELONA
PA-SS 2019/14,2019-04-01,2019.0,4.0,es12,Principado de Asturias,Servicios,Organismo de Derecho público,Universidad,Abierto simplificado,Abierto simplificado,Ordinaria,10120.0,10120.0,22264.0,10.000 – 25.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DE LOS DESFIBRILADORES EXTERNOS SEMIAUTOMATICOS Y SUS ARMARIOS DE LA UNIVERSIDAD DE OVIEDO
PASS 234/2019,2019-04-01,2019.0,4.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto simplificado,Abierto simplificado,Ordinaria,23332.67,23332.67,34999.0,10.000 – 25.000 €,,,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIO DE MANTENIMIENTO DEL SIGUIENTE EQUIPAMIENTO PARA LA REALIZACION DE TRATAMIENTOS DE ONCOLOGIA RADIOTERAPICA EN EL HOSPITAL UNIVERSITARIO DE SANT JOAN EXISTENTES EN EL INVENTARIO DEL HOSPITAL UNIVERSITARIO DE SANT JOAN DEL DEPARTAMENTO DE SALUD ALICANTE SANT JOAN EN UN CONTEXTO DE PRACTICAS RESPETUOSAS CON EL MEDIO AMBIENTE
